,obj_id,image_id,name,x,y,width,height,conf_score,Label
0,0,0,Person1_1.csv,1479,11,1922,1583,0.33860999999999997,birdCall
1,1,0,Person1_1.csv,2554,313,955,888,0.28139000000000003,eyeball
2,2,0,Person1_1.csv,1855,1724,578,1079,0.34569,pinkCandle
3,3,0,Person1_1.csv,14,666,1465,2309,0.42683000000000004,pumpkinNotes
4,4,0,Person1_1.csv,1560,1301,1197,615,0.32564,blueSunglasses
5,5,0,Person1_1.csv,14,464,1775,2268,0.38394,yellowBag
6,6,1,Person1_10.csv,14,1704,1654,1331,0.31486,birdCall
7,7,1,Person1_10.csv,1385,595,941,756,0.34418000000000004,eyeball
8,8,1,Person1_10.csv,1654,414,484,1129,0.47155,pinkCandle
9,9,1,Person1_10.csv,1210,11,1331,2349,0.26366999999999996,sign
10,10,1,Person1_10.csv,1600,938,1116,474,0.25055,blueSunglasses
11,11,1,Person1_10.csv,2245,1583,377,444,0.35128000000000004,lavenderDie
12,12,1,Person1_10.csv,1936,11,2111,2137,0.34441,yellowBag
13,13,2,Person1_11.csv,2904,1371,1143,1301,0.31745999999999996,birdCall
14,14,2,Person1_11.csv,162,11,1721,1654,0.32550999999999997,cupcakePaper
15,15,2,Person1_11.csv,619,11,780,1906,0.37005,sign
16,16,3,Person1_2.csv,1828,414,1210,1492,0.26761999999999997,cloudSign
17,17,3,Person1_2.csv,14,908,1412,1019,0.28889000000000004,eyeball
18,18,3,Person1_2.csv,3320,1150,578,938,0.33000999999999997,pinkCandle
19,19,3,Person1_2.csv,1775,968,1291,857,0.28935,redWhistle
20,20,3,Person1_2.csv,2984,242,1062,2712,0.42644,sign
21,21,3,Person1_2.csv,14,11,2688,1744,0.31146,yellowBag
22,22,4,Person1_3.csv,726,928,1721,1321,0.32366999999999996,birdCall
23,23,4,Person1_3.csv,14,646,1425,1452,0.28574,cloudSign
24,24,4,Person1_3.csv,847,1785,888,545,0.25623,eyeball
25,25,4,Person1_3.csv,14,11,1721,1684,0.42761000000000005,partyFavor
26,26,4,Person1_3.csv,1721,807,256,1190,0.42671000000000003,pinkCandle
27,27,4,Person1_3.csv,1076,1331,1533,1402,0.41136999999999996,redWhistle
28,28,4,Person1_3.csv,2473,111,1103,2531,0.55821,sign
29,29,4,Person1_3.csv,1237,1402,1250,414,0.26771999999999996,blueSunglasses
30,30,5,Person1_4.csv,888,10,998,1396,0.34820999999999996,cloudSign
31,31,5,Person1_4.csv,1029,436,746,634,0.26827,eyeball
32,32,5,Person1_4.csv,1281,585,222,743,0.31071,pinkCandle
33,33,5,Person1_4.csv,2087,446,777,2535,0.25358,sign
34,34,5,Person1_4.csv,1200,733,827,396,0.38178,blueSunglasses
35,35,5,Person1_4.csv,11,802,1744,2178,0.5111600000000001,yellowBag
36,36,6,Person1_5.csv,2030,756,296,877,0.34665999999999997,pinkCandle
37,37,6,Person1_5.csv,1922,605,1049,1210,0.28204,hairClip
38,38,7,Person1_6.csv,417,1422,1734,1613,0.44286000000000003,birdCall
39,39,7,Person1_6.csv,498,11,955,837,0.28697,cloudSign
40,40,7,Person1_6.csv,2299,1926,861,706,0.27365,eyeball
41,41,7,Person1_6.csv,14,11,1492,827,0.39516,metalKey
42,42,7,Person1_6.csv,2890,1966,269,1039,0.49738000000000004,pinkCandle
43,43,7,Person1_6.csv,202,1220,2151,1815,0.49754,pumpkinNotes
44,44,7,Person1_6.csv,1909,444,1076,2591,0.4938,sign
45,45,8,Person1_7.csv,2043,1109,1358,615,0.25584,eyeball
46,46,8,Person1_7.csv,1600,384,1707,1986,0.50089,pumpkinNotes
47,47,8,Person1_7.csv,310,11,820,1795,0.5333100000000001,sign
48,48,8,Person1_7.csv,14,202,2043,1916,0.41412,silverStraw
49,49,8,Person1_7.csv,1775,414,1385,1986,0.41576,yellowBalloon
50,50,8,Person1_7.csv,1869,646,1183,1573,0.32095,hairClip
51,51,9,Person1_8.csv,1156,706,1465,1371,0.34688,birdCall
52,52,9,Person1_8.csv,1560,736,1183,1281,0.34394,cloudSign
53,53,9,Person1_8.csv,1129,1008,901,807,0.3245,eyeball
54,54,9,Person1_8.csv,1076,726,1600,1351,0.4062,metalKey
55,55,9,Person1_8.csv,1224,1170,1304,484,0.33216,blueSunglasses
56,56,9,Person1_8.csv,2460,11,1129,817,0.36974,hairClip
57,57,9,Person1_8.csv,3065,91,457,444,0.30791,lavenderDie
58,58,9,Person1_8.csv,1896,11,2151,2067,0.29958,yellowBag
59,59,10,Person1_9.csv,1533,877,1264,1049,0.30878,metalKey
60,60,10,Person1_9.csv,1936,1160,417,464,0.5115,lavenderDie
61,61,10,Person1_9.csv,14,424,1949,1926,0.31167,yellowBag
62,62,11,Person10_1.csv,1986,1963,948,1506,0.42038000000000003,cloudSign
63,63,11,Person10_1.csv,1069,834,686,928,0.46997,eyeball
64,64,11,Person10_1.csv,1452,2003,1210,1439,0.34568000000000004,metalKey
65,65,11,Person10_1.csv,575,901,373,1371,0.44701,pinkCandle
66,66,11,Person10_1.csv,11,2057,1714,1990,0.27676999999999996,yellowBag
67,67,12,Person10_10.csv,363,995,777,1237,0.31961,eyeball
68,68,12,Person10_10.csv,464,14,2309,2917,0.40247,yellowBag
69,69,13,Person10_11.csv,777,1035,807,1143,0.3996,eyeball
70,70,13,Person10_11.csv,666,14,2319,2473,0.36124,yellowBag
71,71,14,Person10_12.csv,14,756,914,1260,0.51042,cloudSign
72,72,14,Person10_12.csv,14,71,1264,1381,0.27642,cupcakePaper
73,73,14,Person10_12.csv,1519,1734,699,656,0.29295,eyeball
74,74,14,Person10_12.csv,2326,787,216,1250,0.38914,pinkCandle
75,75,14,Person10_12.csv,14,21,1613,1452,0.29994,pumpkinNotes
76,76,14,Person10_12.csv,2272,1089,968,1946,0.29704,sign
77,77,14,Person10_12.csv,189,172,1076,1190,0.33765,hairClip
78,78,15,Person10_13.csv,212,54,1573,1855,0.31585,canadaPencil
79,79,15,Person10_13.csv,1331,14,978,1546,0.42838000000000004,cloudSign
80,80,15,Person10_13.csv,1402,14,1301,1600,0.35396,partyFavor
81,81,15,Person10_13.csv,1250,2890,313,1156,0.27454,pinkCandle
82,82,15,Person10_13.csv,11,14,877,2420,0.32945,sign
83,83,16,Person10_14.csv,938,968,908,1694,0.28246,cloudSign
84,84,16,Person10_14.csv,1008,1318,777,1103,0.37117,eyeball
85,85,16,Person10_14.csv,1452,807,323,1586,0.48128999999999994,pinkCandle
86,86,16,Person10_14.csv,1452,955,746,3092,0.51899,sign
87,87,17,Person10_15.csv,1865,820,787,3186,0.44922,sign
88,88,18,Person10_16.csv,958,14,1321,3320,0.34404,canadaPencil
89,89,18,Person10_16.csv,1351,1694,535,1533,0.35424,pinkCandle
90,90,18,Person10_16.csv,1311,14,615,2662,0.59521,sign
91,91,19,Person10_17.csv,3199,11,793,928,0.25478,cloudSign
92,92,19,Person10_17.csv,2930,1684,1116,716,0.35547,eyeball
93,93,19,Person10_17.csv,14,1644,1600,1392,0.32169000000000003,partyFavor
94,94,19,Person10_17.csv,14,11,1855,1654,0.26094,pumpkinNotes
95,95,19,Person10_17.csv,1479,1160,1331,444,0.35003,blueSunglasses
96,96,19,Person10_17.csv,3119,1563,928,1039,0.5674,hairClip
97,97,19,Person10_17.csv,2487,293,484,454,0.58108,lavenderDie
98,98,20,Person10_18.csv,817,1506,1170,1828,0.36059,birdCall
99,99,20,Person10_18.csv,1140,1412,958,2030,0.51458,cloudSign
100,100,20,Person10_18.csv,787,1600,1220,1694,0.29215,metalKey
101,101,20,Person10_18.csv,777,1291,1250,1801,0.43582,partyFavor
102,102,20,Person10_18.csv,1472,1734,283,1412,0.39594,pinkCandle
103,103,20,Person10_18.csv,1321,14,1452,2151,0.3719,pumpkinNotes
104,104,20,Person10_18.csv,756,2420,877,619,0.38673,blueSunglasses
105,105,20,Person10_18.csv,1200,1600,827,1788,0.44633999999999996,hairClip
106,106,20,Person10_18.csv,1079,14,1956,2258,0.26281,yellowBag
107,107,21,Person10_19.csv,605,578,313,1439,0.4586,pinkCandle
108,108,21,Person10_19.csv,323,14,847,3253,0.42083999999999994,sign
